id,seatId,roleTitle,client,projectName,dept,manager,quarter,jrs,bandMin,bandMax,requiredSkills,niceToHaveSkills,certifications,requiredIndustry,niceToHaveIndustries,startDate,endDate,weeklyHours,location,travelRequired,contractSigned,status
R101,TR-6001,Enterprise Architect,Vantage Insurance,Core Systems Overhaul,Cloud & Platform,Sandra Lee,Q3 2026,Cloud Solution Architect,8,9,"AWS,Solution Architecture,Terraform,Security","Python,Kubernetes,Networking",AWS Solutions Architect Professional,Insurance,"Financial Services,Public Sector",2026-08-18,2027-02-18,40,"New York, NY",false,true,Open
R102,TR-6002,Data Governance Lead,HealthFirst Network,Patient Data Lakehouse,Data & AI,James Okafor,Q3 2026,Data Engineer,8,9,"Python,SQL,Databricks,Data Governance","Azure,dbt,Snowflake,Power BI",Azure Data Engineer Associate,Healthcare,"Life Sciences,Insurance",2026-08-25,2027-05-25,40,"Philadelphia, PA",false,true,Open
R103,TR-6003,MLOps Platform Engineer,RetailNova Group,Demand Intelligence Platform,Data & AI,James Okafor,Q3 2026,AI/ML Specialist,7,8,"Python,MLOps,TensorFlow,Docker","Kubernetes,Spark,Kafka,AWS",AWS Machine Learning Specialty,Retail,"Technology,Supply Chain & Logistics",2026-09-08,2027-03-08,40,"Austin, TX",false,true,Open
R104,TR-6004,Cloud Infrastructure Engineer,MidWest Power Co,Grid Modernization Initiative,Cloud & Platform,Sandra Lee,Q4 2026,Cloud Solution Architect,6,8,"AWS,Terraform,Kubernetes,Networking","Security,Python,Ansible",,Energy & Utilities,"Manufacturing,Public Sector",2026-10-06,2027-07-06,40,"Chicago, IL",true,false,Open
R105,TR-6005,Senior Java Developer,TrustLine Banking,Digital Banking Platform,Application Modernization,Rachel Kim,Q4 2026,Application Developer,7,8,"Java,Spring Boot,REST APIs,PostgreSQL","Docker,Kubernetes,React","CKA",Financial Services,"Insurance,Technology",2026-10-20,2027-04-20,40,"Charlotte, NC",false,true,Open
R106,TR-6006,NLP Research Engineer,BioScript Labs,Clinical Notes AI,Data & AI,James Okafor,Q4 2026,AI/ML Specialist,8,9,"Python,NLP,LLMs,PyTorch,MLOps","TensorFlow,Spark,AWS",,Life Sciences,"Healthcare,Technology",2026-11-03,2027-05-03,32,"San Francisco, CA",false,true,Open
R107,TR-6007,Platform Reliability Engineer,LogiFreight Corp,Supply Chain Control Tower,Cloud & Platform,Sandra Lee,Q4 2026,Cloud Solution Architect,7,8,"Kubernetes,Python,Terraform,AWS","Docker,CI/CD,Monitoring,Security","CKA",Supply Chain & Logistics,"Retail,Manufacturing",2026-11-10,2027-08-10,40,"Dallas, TX",true,true,Open
R108,TR-6008,React Frontend Developer,EduPath Inc,Learning Experience Platform,Application Modernization,Rachel Kim,Q1 2027,Application Developer,6,7,"React,TypeScript,REST APIs,PostgreSQL","Node.js,Docker,GraphQL",,Higher Education,"K-12 Education,Non-Profit",2027-01-12,2027-07-12,40,"Atlanta, GA",false,false,Open
R109,TR-6009,Data Pipeline Architect,DefenseLink Systems,Secure Analytics Hub,Data & AI,James Okafor,Q1 2027,Data Engineer,8,9,"Python,Spark,SQL,Databricks,Azure","Kafka,dbt,Snowflake",Azure Data Engineer Associate,Defense,"Public Sector,Telecommunications",2027-01-26,2027-10-26,40,"Washington, DC",true,true,Open
R110,TR-6010,AI Product Engineer,ShopSmart Retail,Conversational Commerce,Data & AI,James Okafor,Q1 2027,AI/ML Specialist,7,9,"Python,LLMs,NLP,AWS,MLOps","TensorFlow,PyTorch,Kubernetes",AWS Machine Learning Specialty,Retail,"Technology,Supply Chain & Logistics",2027-02-09,2027-09-09,32,"Seattle, WA",false,true,Open
